task,location,canonical_file_count,has_window_date_mentions,window_dates,source_paths
planning/archive/20260506-155323-session-summary-mechanism,archive,3,False,,planning/archive/20260506-155323-session-summary-mechanism/findings.md | planning/archive/20260506-155323-session-summary-mechanism/progress.md | planning/archive/20260506-155323-session-summary-mechanism/task_plan.md
planning/archive/20260506-155323-worktree-naming-governance,archive,3,False,,planning/archive/20260506-155323-worktree-naming-governance/findings.md | planning/archive/20260506-155323-worktree-naming-governance/progress.md | planning/archive/20260506-155323-worktree-naming-governance/task_plan.md
planning/archive/20260506-155446-active-followup-consolidation,archive,3,False,,planning/archive/20260506-155446-active-followup-consolidation/findings.md | planning/archive/20260506-155446-active-followup-consolidation/progress.md | planning/archive/20260506-155446-active-followup-consolidation/task_plan.md
planning/archive/20260506-155446-planning-lifecycle-audit-review,archive,3,False,,planning/archive/20260506-155446-planning-lifecycle-audit-review/findings.md | planning/archive/20260506-155446-planning-lifecycle-audit-review/progress.md | planning/archive/20260506-155446-planning-lifecycle-audit-review/task_plan.md
planning/archive/20260506-155446-planning-timestamp-heading-audit,archive,3,False,,planning/archive/20260506-155446-planning-timestamp-heading-audit/findings.md | planning/archive/20260506-155446-planning-timestamp-heading-audit/progress.md | planning/archive/20260506-155446-planning-timestamp-heading-audit/task_plan.md
planning/archive/20260506-155447-spec-review-planning-recovery-brief-hot-summary,archive,3,False,,planning/archive/20260506-155447-spec-review-planning-recovery-brief-hot-summary/findings.md | planning/archive/20260506-155447-spec-review-planning-recovery-brief-hot-summary/progress.md | planning/archive/20260506-155447-spec-review-planning-recovery-brief-hot-summary/task_plan.md
planning/archive/20260506-155702-backup-fix-session-investigation,archive,3,False,,planning/archive/20260506-155702-backup-fix-session-investigation/findings.md | planning/archive/20260506-155702-backup-fix-session-investigation/progress.md | planning/archive/20260506-155702-backup-fix-session-investigation/task_plan.md
planning/archive/20260506-155702-gstack-harness-comparison-analysis,archive,3,False,,planning/archive/20260506-155702-gstack-harness-comparison-analysis/findings.md | planning/archive/20260506-155702-gstack-harness-comparison-analysis/progress.md | planning/archive/20260506-155702-gstack-harness-comparison-analysis/task_plan.md
planning/archive/20260506-155702-rename-repo-superpowering-with-files,archive,3,False,,planning/archive/20260506-155702-rename-repo-superpowering-with-files/findings.md | planning/archive/20260506-155702-rename-repo-superpowering-with-files/progress.md | planning/archive/20260506-155702-rename-repo-superpowering-with-files/task_plan.md
planning/archive/20260506-155702-typemint-skill-duplication-check,archive,3,False,,planning/archive/20260506-155702-typemint-skill-duplication-check/findings.md | planning/archive/20260506-155702-typemint-skill-duplication-check/progress.md | planning/archive/20260506-155702-typemint-skill-duplication-check/task_plan.md
